,model,attempt,temperature,top_p,rag_type,baseline,results,comparison_prompt,quality,agreement,accuracy,hallucination,justification
7522,TeenyTinyLlama-160m-NCM-ft,31,0.1,0.1,2-steps RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LOCAO NIVEA POS BARB.PROTECT.100ML 81340 UN0001UN' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos   - Preparações para barbear (antes, durante ou após)",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LOCAO NIVEA POS BARB.PROTECT.100ML 81340 UN0001UN' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos   - Preparações para barbear (antes, durante ou após)
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
7648,TeenyTinyLlama-160m-NCM-ft,45,0.1,0.1,2-steps RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
7650,TeenyTinyLlama-160m-NCM-ft,45,0.1,0.9,2-steps RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
7651,TeenyTinyLlama-160m-NCM-ft,45,1.0,0.1,2-steps RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
7654,TeenyTinyLlama-160m-NCM-ft,45,1.9,0.1,2-steps RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LICOR ESP LICOR 43 ZAMORA ART EDITION 700ML   MVA:29.040000' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Licores
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
8711,TeenyTinyLlama-160m-NCM-ft,163,0.1,0.5,2-steps RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'SACO ALVEJADO COPALIMPA' é Outros artefatos confeccionados, incluindo os moldes para vestuário.   - Rodilhas, esfregões, panos de prato ou de cozinha, flanelas e artefatos de limpeza semelhantes",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'SACO ALVEJADO COPALIMPA' é Outros artefatos confeccionados, incluindo os moldes para vestuário.   - Rodilhas, esfregões, panos de prato ou de cozinha, flanelas e artefatos de limpeza semelhantes
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
8716,TeenyTinyLlama-160m-NCM-ft,163,1.9,0.1,2-steps RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'SACO ALVEJADO COPALIMPA' é Outros artefatos confeccionados, incluindo os moldes para vestuário.   - Rodilhas, esfregões, panos de prato ou de cozinha, flanelas e artefatos de limpeza semelhantes",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'SACO ALVEJADO COPALIMPA' é Outros artefatos confeccionados, incluindo os moldes para vestuário.   - Rodilhas, esfregões, panos de prato ou de cozinha, flanelas e artefatos de limpeza semelhantes
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
16405,TeenyTinyLlama-160m-NCM-ft,16,0.1,0.9,Common RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'POMEGRANATE GEL CREME HID FACI' é Produtos de beleza ou de maquiagem preparados e preparações para conservação ou cuidados da pele (exceto medicamentos), incluindo as preparações anti-solares e os bronzeadores; preparações para manicuros e pedicuros. - Outros: -- Outros Cremes de beleza e cremes nutritivos; loções tônicas",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'POMEGRANATE GEL CREME HID FACI' é Produtos de beleza ou de maquiagem preparados e preparações para conservação ou cuidados da pele (exceto medicamentos), incluindo as preparações anti-solares e os bronzeadores; preparações para manicuros e pedicuros. - Outros: -- Outros Cremes de beleza e cremes nutritivos; loções tônicas
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
16504,TeenyTinyLlama-160m-NCM-ft,27,0.1,0.9,Common RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'CRD.COLGATE T.12HS CLEAN MINT 12X90GR DZ0012UN' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Dentifrícios (dentífricos)",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'CRD.COLGATE T.12HS CLEAN MINT 12X90GR DZ0012UN' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Dentifrícios (dentífricos)
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
16539,TeenyTinyLlama-160m-NCM-ft,31,0.1,0.5,Common RAG,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LOCAO NIVEA POS BARB.PROTECT.100ML 81340 UN0001UN' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos   - Preparações para barbear (antes, durante ou após)",                                                                                                                                                                                                                                                                                                            ,"Avalie as respostas abaixo de 0 a 10, em que 0 representa discordância total e 10 concordância total, considerando os seguintes critérios:

        *Qualidade da Resposta*: A resposta é clara, concisa e bem estruturada ao responder quando comparada ao baseline?
        *Concordância*: A resposta faz sentido no contexto comparativo com o baseline?
        *Precisão/Acurácia*: A resposta apresenta informações corretas ao serem comparadas com o baseline?
        **Alucinação**: A resposta contém informações inventadas ou inconsistentes com a pergunta ou baseline, ou afirmações sem embasamento verificável? Penalize a nota se o conteúdo parecer falso ou fabricado.

        Resposta Base (Baseline): A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LOCAO NIVEA POS BARB.PROTECT.100ML 81340 UN0001UN' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos   - Preparações para barbear (antes, durante ou após)
        Resposta do Modelo:                                                                                                                                                                                                                                                                                                             

        Atribua uma nota de 0 a 10 para a comparação entre as respostas (Baseline e Modelo), justificando brevemente sua avaliação. 
        Respostas do modelo que indicam falta de acesso a informações específicas e recomendam consultar fontes externas (ex: ""Desculpe, mas não tenho acesso a informações específicas como CEPs..."") devem ser penalizadas, pois não atingiram o objetivo.
        Retorne a avaliação no formato JSON, com as chaves ""quality"", ""agreement"", ""accuracy"", ""hallucination"" e ""justification"". 
        Não penalize a avaliação em caso de repetições no texto.
",,,,,JSON Error: Expecting value: line 1 column 1 (char 0)
