model,attempt,temperature,top_p,prompt,results,baseline,score,augmented_prompt
gemini-2.0-flash,1,0.1,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: 96039000 | Rótulo: vassouras, rodos, cabos e afins.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,0.1,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: 96039000 | Rótulo: vassouras, rodos, cabos e afins.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,0.1,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: vassouras, rodos, cabos e afins.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,1.0,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: 96039000 | Rótulo: vassouras, rodos, cabos e afins.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,1.0,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: 96039000 | Rótulo: vassouras, rodos, cabos e afins.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,1.0,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: 96039000 | Rótulo: vassouras, rodos, cabos e afins
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,1.9,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: 96039000 | Rótulo: vassouras, rodos, cabos e afins.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,1.9,0.5,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: vassouras, rodos, cabos e afins.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,1,1.9,0.9,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM para a mercadoria VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX é: 96039000 | Rótulo: vassouras, rodos, cabos e afins
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
gemini-2.0-flash,2,0.1,0.1,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: RB-HARPIC PASTILHA LAVANDA PROM-4790,"A descrição oficial do código NCM para a mercadoria RB-HARPIC PASTILHA LAVANDA PROM-4790 é: odorizantes / desodorizantes de ambiente e superfície.
","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'RB-HARPIC PASTILHA LAVANDA PROM-4790' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos - Preparações para perfumar ou para desodorizar ambientes, incluindo as preparações odoríferas para cerimônias religiosas:  -- Agarbate e outras preparações odoríferas que atuem por combustão",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 72142000 | Rótulo: Vergalhões | Produto: TRAVA QUEDA CORDA
NCM: 73089010 | Rótulo: Vergalhões | Produto: JUNÇÃO H
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: BM-CHAVEIRO LANTEJOULA CACTO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: KIT PROMOCIONAL NUMERO 02 BRALIMPIA
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: Mercadorias ""Linha de Montagem""
NCM: 34022000 | Rótulo: odorizantes / desodorizantes de ambiente e superfície | Produto: RB-HARPIC PASTILHA LAVANDA PROM-4790


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: RB-HARPIC PASTILHA LAVANDA PROM-4790

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
