model,attempt,temperature,top_p,prompt,results,baseline,score,augmented_prompt
o1-mini-2024-09-12,1,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX,"A descrição oficial do código NCM **96039000** para a mercadoria **VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX** é:

**vassouras, rodos, cabos e afins**","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX' é Vassouras e escovas, mesmo constituindo partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores; cabeças preparadas para escovas, pincéis e artigos semelhantes; bonecas e rolos para pintura   - Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 23 CM
NCM: 73261900 | Rótulo: Abraçadeiras | Produto: ESTICADOR PARA FIO FE
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: CABO PARA ROLO DE PINTURA 10 CM
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADEREN. MEDIO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: RODO VAI E VEM MAIOR ADERENCIA PEQU
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: VASSOURAO CERPA PLAST FIO RIGIDO 370X63MM MAX

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,2,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: RB-HARPIC PASTILHA LAVANDA PROM-4790,Não há dados suficientes para responder com segurança.,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'RB-HARPIC PASTILHA LAVANDA PROM-4790' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos - Preparações para perfumar ou para desodorizar ambientes, incluindo as preparações odoríferas para cerimônias religiosas:  -- Agarbate e outras preparações odoríferas que atuem por combustão",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 72142000 | Rótulo: Vergalhões | Produto: TRAVA QUEDA CORDA
NCM: 73089010 | Rótulo: Vergalhões | Produto: JUNÇÃO H
NCM: 73269090 | Rótulo: Abraçadeiras | Produto: BM-CHAVEIRO LANTEJOULA CACTO
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: KIT PROMOCIONAL NUMERO 02 BRALIMPIA
NCM: 96039000 | Rótulo: vassouras, rodos, cabos e afins | Produto: Mercadorias ""Linha de Montagem""
NCM: 34022000 | Rótulo: odorizantes / desodorizantes de ambiente e superfície | Produto: RB-HARPIC PASTILHA LAVANDA PROM-4790


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: RB-HARPIC PASTILHA LAVANDA PROM-4790

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,3,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA,"A descrição oficial do código NCM **38089419** para a mercadoria ""DESINF PINHO BRIL 1LT CAMPOS LAVANDA"" é:

**Desinfetantes apresentados em quaisquer formas ou embalagens**","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'DESINF PINHO BRIL 1LT CAMPOS LAVANDA' é Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germinação e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como preparações ou ainda sob a forma - Outros: -- Desinfetantes Que contenham bromometano (brometo de metila) ou bromoclorometano",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: REGISTRO DUMPER PARA CHAMINE PRETO
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: PORCA P/ PINO DE TELHA
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: PFL ELETR.LISA S/TPA 100X050 #24 ESTRUTURAL.
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: PFL ELETR.LISA S/TPA 200X050 #24 ESTRUTURAL.
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: ARRUELA ZINCADA P/ PINO DE TELHA
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: DESINF PINHO BRIL 1LT CAMPOS LAVANDA


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: DESINF PINHO BRIL 1LT CAMPOS LAVANDA

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,4,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml,"A descrição oficial do código NCM **22084000** é:

**Aguardentes de cana ou de outras matérias-primas vegetais, com ou sem adição de sacarose ou de outros açúcares; outras aguardentes.**","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'AGUARDENTE 88 VIRAMEL 700ml' é Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol; aguardentes, licores e outras bebidas espirituosas.   - Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73089010 | Rótulo: Vergalhões | Produto: UNIAO CEMAR ENTRE ACESSORIOS 200X100 937965
NCM: 73089010 | Rótulo: Vergalhões | Produto: UNIAO CEMAR ENTRE ACESSORIOS 200X50 937972
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: TE VERTICAL DESCIDA LATERAL L200 x A050 938250
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: TE VERTICAL DESCIDA L050 x A050  936841
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: EMENDA CEMAR INTERNA X LEVE 936297
NCM: 22084000 | Rótulo: aguardente | Produto: AGUARDENTE 88 VIRAMEL 700ml


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: AGUARDENTE 88 VIRAMEL 700ml

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,5,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML,"O código NCM **33069000** possui a descrição oficial **""Outras preparações para higiene bucal ou dentária""**.","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'ENXAG BUCAL PLAX FRESH MINT L500P350ML' é Preparações para higiene bucal ou dentária, incluindo os pós e cremes para facilitar a aderência de dentaduras; fios utilizados para limpar os espaços interdentais (fios dentais), em embalagens individuais para venda a retalho.   - Outras",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: DESINF PINHO BRIL 500ML BRISA DO MAR CX-12-UN
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: DESINF PINHO BRIL 500ML ERVA DOCE CX-12-UN
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: DESINF PINHO BRIL 500ML FRUTAS CITRICAS CX-12-UN
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: DESINF PINHO BRIL 500ML LAVANDA CX-12-UN
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: DESINF PINHO MINUANO 500ML TRADICIONAL CX-24-UN
NCM: 33069000 | Rótulo: Outras preparações para higiene bucal ou dentária | Produto: ENXAG BUCAL PLAX FRESH MINT L500P350ML


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: ENXAG BUCAL PLAX FRESH MINT L500P350ML

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,6,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: PF SAB LIQ REXONA ANTIB FRESH REF 200ML,"O código NCM **34013000** corresponde à seguinte descrição oficial:

**""Produtos e preparações orgânicos tensoativos para lavagem da pele, na forma de líquido ou de creme, acondicionados para venda a retalho, mesmo contendo sabão.""**","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'PF SAB LIQ REXONA ANTIB FRESH REF 200ML' é Sabões; produtos e preparações orgânicos tensoativos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo que contenham sabão; produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondi   - Produtos e preparações orgânicos tensoativos para lavagem da pele, em forma de líquido ou de creme, acondicionados para venda a retalho, mesmo que contenham sabão",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 38084010 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: LIMP SANIT SANIX REF LAVANDA 50ML
NCM: 34022000 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: LIMP DESINF. AZULIM LAVANDA 5LT - GL
NCM: 38080000 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: LIMP DESINF. SANILIFE UZZI TALCO 5LT - GL
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: RX LIMP. DESINF. ALEGRIA 12X500ML
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: RX LIMP. DESINF. DOLCE VITA 12X1000ML
NCM: 34013000 | Rótulo: Produtos e preparações orgânicos tensoativos para lavagem da pele, na forma de líquido ou de creme, acondicionados para venda a retalho, mesmo contendo sabão | Produto: PF SAB LIQ REXONA ANTIB FRESH REF 200ML


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: PF SAB LIQ REXONA ANTIB FRESH REF 200ML

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,7,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: LIMP MULTI YPE CLASSICO 500 ML,"A descrição oficial do código NCM **34022000** para a mercadoria *LIMP MULTI YPE CLASSICO 500 ML* é:

**""Outros agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluídas as preparações auxiliares para lavagem) e preparações para limpeza (inclusive multiuso e limpadores), mesmo contendo sabão, exceto os produtos descritos nos CEST 11.001.00, 11.004.00, 11.005.00 e 11.006.00; em embalagem de conteúdo inferior ou igual a 50 litros ou 50 kg.""**","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'LIMP MULTI YPE CLASSICO 500 ML' é Agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluindo as preparações auxiliares para lavagem) e preparações para limpeza, mesmo que contenham sabão, exceto as da posição 34.01.   - Preparações acondicionadas para venda a retalho",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 35051000 | Rótulo: facilitadores e goma para passar roupa | Produto: PASSE BEM REFIL 500 ML
NCM: 33049100 | Rótulo: Pós, incluídos os compactos, para maquilagem | Produto: CAP TOTALE ONE ESSENTIAL OFFER
NCM: 33049100 | Rótulo: Pós, incluídos os compactos, para maquilagem | Produto: CAP TOTALE ONE ESSENTIAL OFFER
NCM: 34054000 | Rótulo: pastas, pós, saponáceos e outras preparações para arear | Produto: LIMP CIF 500ML CREM LIMP PROF BCO
NCM: 35051000 | Rótulo: facilitadores e goma para passar roupa | Produto: PASSE BEM REFIL - 12X500ML
NCM: 34022000 | Rótulo: Outros agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluídas as preparações auxiliares para lavagem) e preparações para limpeza (inclusive multiuso e limpadores), mesmo contendo sabão, exceto os produtos descritos nos CEST 11.001.00, 11.004.00, 11.005.00 e 11.006.00; em embalagem de conteúdo inferior ou igual a 50 litros ou 50 kg | Produto: LIMP MULTI YPE CLASSICO 500 ML


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: LIMP MULTI YPE CLASSICO 500 ML

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,8,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: HASTES FLEXIVEIS COTTONBABY PREMIUM UND 1 X 1 50UND,"A descrição oficial do código NCM **5601.21.90** para a mercadoria ""HASTES FLEXIVEIS COTTONBABY PREMIUM UND 1 X 1 50UND"" é:

**Hastes flexíveis (uso não medicinal)**","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'HASTES FLEXIVEIS COTTONBABY PREMIUM UND 1 X 1 50UND' é Pastas (ouates) de matérias têxteis e artigos destas pastas (ouates); fibras têxteis de comprimento não superior a 5 mm (tontisses), nós e bolotas de matérias têxteis. - Pastas (ouates) de matérias têxteis e artigos destas pastas (ouates): -- De algodão Outros artigos de pastas (ouates)",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: TERMOMETRO PARA FORNO
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: REDUCAO CONCENTRICA PERF 200X50/50X50
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: PERFIL GANCHO VERTICAL 200X100
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: CANTONEIRA METALICA ANODIZADA 15X35 FUME
NCM: 73089010 | Rótulo: Barras próprias para construções, exceto os vergalhões. | Produto: SUPORTE  LONGO PARA PERFILADO 38X38
NCM: 56012190 | Rótulo: Hastes flexíveis (uso não medicinal) | Produto: HASTES FLEXIVEIS COTTONBABY PREMIUM UND 1 X 1 50UND


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: HASTES FLEXIVEIS COTTONBABY PREMIUM UND 1 X 1 50UND

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,9,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: SACO LIXO LIXOPLAS AZUL ROLO 30LT 20X1,Não há dados suficientes para responder com segurança.,"A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'SACO LIXO LIXOPLAS AZUL ROLO 30LT 20X1' é Artigos de transporte ou de embalagem, de plásticos; rolhas, tampas, cápsulas e outros dispositivos para fechar recipientes, de plásticos. - Sacos de quaisquer dimensões, bolsas e cartuchos: -- De polímeros de etileno Outros",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: PL DESINF MINUANO *EUCALIPTO*
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: PL DESINF PINHO BRIL *LAVANDA*
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: PL DESINF KALIPTO *FLORES DO CAMPO*
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: PL DESINF MINUANO *LAVANDA*
NCM: 38089419 | Rótulo: desinfetantes apresentados em quaisquer formas ou embalagens | Produto: DESINF SCARLIM TALCO PERFUMADO
NCM: 39232190 | Rótulo: Sacos de lixo de conteúdo igual ou inferior a 100 litros | Produto: SACO LIXO LIXOPLAS AZUL ROLO 30LT 20X1


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: SACO LIXO LIXOPLAS AZUL ROLO 30LT 20X1

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
o1-mini-2024-09-12,10,1.0,1.0,Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: GLADE AUTO SPORT FLORAL PERF RF 7ML,"Não há dados suficientes no contexto fornecido para responder com segurança à sua pergunta sobre a descrição oficial do código NCM para a mercadoria ""GLADE AUTO SPORT FLORAL PERF RF 7ML"".","A descrição correta de acordo com a Nomenclatura Comum do Mercusul para 'GLADE AUTO SPORT FLORAL PERF RF 7ML' é Preparações para barbear (antes, durante ou após), desodorantes (desodorizantes) corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos - Preparações para perfumar ou para desodorizar ambientes, incluindo as preparações odoríferas para cerimônias religiosas:  -- Outras",,"
    Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

    Contexto relevante recuperado:

    NCM: 35051000 | Rótulo: facilitadores e goma para passar roupa | Produto: RX FAC PASSAR POUCH RF 12X500ML
NCM: 35051000 | Rótulo: facilitadores e goma para passar roupa | Produto: PASSE FABULON 500ML PULV FLORAL
NCM: 35051000 | Rótulo: facilitadores e goma para passar roupa | Produto: PASSE FABULON 500ML REC FLORAL
NCM: 35051000 | Rótulo: facilitadores e goma para passar roupa | Produto: PASSE BEM PULVERIZADOR 500ML UN / 1
NCM: 35051000 | Rótulo: facilitadores e goma para passar roupa | Produto: PASSE BEM PULVERIZADOR - 12X500ML
NCM: 33074900 | Rótulo: odorizantes / desodorizantes de ambiente e superfície | Produto: GLADE AUTO SPORT FLORAL PERF RF 7ML


    Pergunta:
    Qual a descrição oficial do código NCM para a mercadoria com a seguinte descrição: GLADE AUTO SPORT FLORAL PERF RF 7ML

    Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança.
    "
